0	0.2
0.001	0.2
0.002	0.2
0.003	0.2
0.004	0.2
0.005	0.2
0.006	0.2
0.007	0.2
0.008	0.2
0.009	0.2
0.01	0.2
0.011	0.2
0.012	0.2
0.013	0.2
0.014	0.2
0.015	0.2
0.016	0.2
0.017	0.2
0.018	0.2
0.019	0.2
0.02	0.2
0.021	0.2
0.022	0.2
0.023	0.2
0.024	0.2
0.025	0.2
0.026	0.2
0.027	0.2
0.028	0.2
0.029	0.2
0.03	0.2
0.031	0.2
0.032	0.2
0.033	0.2
0.034	0.2
0.035	0.2
0.036	0.2
0.037	0.2
0.038	0.2
0.039	0.2
0.04	0.2
0.041	0.2
0.042	0.2
0.043	0.2
0.044	0.2
0.045	0.2
0.046	0.2
0.047	0.2
0.048	0.2
0.049	0.2
0.05	0.2
0.051	0.2
0.052	0.2
0.053	0.2
0.054	0.2
0.055	0.2
0.056	0.2
0.057	0.2
0.058	0.2
0.059	0.2
0.06	0.2
0.061	0.2
0.062	0.2
0.063	0.2
0.064	0.2
0.065	0.2
0.066	0.2
0.067	0.2
0.068	0.2
0.069	0.2
0.07	0.2
0.071	0.2
0.072	0.2
0.073	0.2
0.074	0.2
0.075	0.2
0.076	0.2
0.077	0.2
0.078	0.2
0.079	0.2
0.08	0.2
0.081	0.2
0.082	0.2
0.083	0.2
0.084	0.2
0.085	0.2
0.086	0.2
0.087	0.2
0.088	0.2
0.089	0.2
0.09	0.2
0.091	0.2
0.092	0.2
0.093	0.2
0.094	0.2
0.095	0.2
0.096	0.2
0.097	0.2
0.098	0.2
0.099	0.2
0.1	0.3
0.101	0.3
0.102	0.3
0.103	0.3
0.104	0.3
0.105	0.3
0.106	0.3
0.107	0.3
0.108	0.3
0.109	0.3
0.11	0.3
0.111	0.3
0.112	0.3
0.113	0.3
0.114	0.3
0.115	0.3
0.116	0.3
0.117	0.3
0.118	0.3
0.119	0.3
0.12	0.3
0.121	0.3
0.122	0.3
0.123	0.3
0.124	0.3
0.125	0.3
0.126	0.3
0.127	0.3
0.128	0.3
0.129	0.3
0.13	0.3
0.131	0.3
0.132	0.3
0.133	0.3
0.134	0.3
0.135	0.3
0.136	0.3
0.137	0.3
0.138	0.3
